game_date,home_team,away_team,game_url,outcome,score,competition,stadium,attendance,competition_2,score_2,match_notes
23 Aug 2005,Scunthorpe United,Tranmere Rovers,https://www.11v11.com/matches/scunthorpe-united-v-tranmere-rovers-23-august-2005-220773/,L,2-1,League Cup,Glanford Park,2728,League Cup 1st round,2-1 to Scunthorpe United,KICK-OFF: 7.30pm
27 Aug 2005,Chesterfield,Tranmere Rovers,https://www.11v11.com/matches/chesterfield-v-tranmere-rovers-27-august-2005-220843/,W,0-2,League One,"Saltergate, Chesterfield",3445,League One,2-0 to Tranmere Rovers,
29 Aug 2005,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-29-august-2005-220809/,W,1-0,League One,Prenton Park,7557,League One,1-0 to Tranmere Rovers,KICK-OFF: 3.00pm
02 Sep 2005,AFC Bournemouth,Tranmere Rovers,https://www.11v11.com/matches/afc-bournemouth-v-tranmere-rovers-02-september-2005-220871/,D,0-0,League One,Fitness First Stadium,5695,League One,0-0,
09 Sep 2005,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-09-september-2005-220941/,D,2-2,League One,Prenton Park,8225,League One,2-2,
17 Sep 2005,Southend United,Tranmere Rovers,https://www.11v11.com/matches/southend-united-v-tranmere-rovers-17-september-2005-220998/,L,3-1,League One,Roots Hall,6691,League One,3-1 to Southend United,
24 Sep 2005,Tranmere Rovers,Gillingham,https://www.11v11.com/matches/tranmere-rovers-v-gillingham-24-september-2005-221078/,D,2-2,League One,Prenton Park,7003,League One,2-2,
27 Sep 2005,Huddersfield Town,Tranmere Rovers,https://www.11v11.com/matches/huddersfield-town-v-tranmere-rovers-27-september-2005-221112/,L,1-0,League One,Galpharm Stadium,10640,League One,1-0 to Huddersfield Town,
01 Oct 2005,Nottingham Forest,Tranmere Rovers,https://www.11v11.com/matches/nottingham-forest-v-tranmere-rovers-01-october-2005-221159/,L,1-0,League One,City Ground,22022,League One,1-0 to Nottingham Forest,
07 Oct 2005,Tranmere Rovers,Scunthorpe United,https://www.11v11.com/matches/tranmere-rovers-v-scunthorpe-united-07-october-2005-221184/,L,0-2,League One,Prenton Park,7522,League One,2-0 to Scunthorpe United,
15 Oct 2005,Bristol City,Tranmere Rovers,https://www.11v11.com/matches/bristol-city-v-tranmere-rovers-15-october-2005-221223/,L,1-0,League One,Ashton Gate,10495,League One,1-0 to Bristol City,
18 Oct 2005,Tranmere Rovers,Lincoln City,https://www.11v11.com/matches/tranmere-rovers-v-lincoln-city-18-october-2005-221275/,W,2-1,LDV Vans Trophy,Prenton Park,3210,LDV Vans Trophy 1st round - northern section,2-1 to Tranmere Rovers,
22 Oct 2005,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-22-october-2005-221319/,D,0-0,League One,Prenton Park,6612,League One,0-0,
29 Oct 2005,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-29-october-2005-221383/,W,0-2,League One,"Earth Stadium, Doncaster",5542,League One,2-0 to Tranmere Rovers,
06 Nov 2005,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-06-november-2005-221528/,L,2-1,FA Cup,Bradford and Bingley Stadium,6116,FA Cup 1st round,2-1 to Bradford City,
12 Nov 2005,Tranmere Rovers,Milton Keynes Dons,https://www.11v11.com/matches/tranmere-rovers-v-milton-keynes-dons-12-november-2005-221607/,L,1-2,League One,Prenton Park,6611,League One,2-1 to Milton Keynes Dons,KICK-OFF: 2.00pm
19 Nov 2005,Scunthorpe United,Tranmere Rovers,https://www.11v11.com/matches/scunthorpe-united-v-tranmere-rovers-19-november-2005-221662/,W,1-2,League One,Glanford Park,4602,League One,2-1 to Tranmere Rovers,
22 Nov 2005,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-22-november-2005-221699/,W,3-2,LDV Vans Trophy,Prenton Park,2867,LDV Vans Trophy 2nd round - northern section,3-2 to Tranmere Rovers,
26 Nov 2005,Tranmere Rovers,Swansea City,https://www.11v11.com/matches/tranmere-rovers-v-swansea-city-26-november-2005-221739/,D,2-2,League One,Prenton Park,7518,League One,2-2,
06 Dec 2005,Barnsley,Tranmere Rovers,https://www.11v11.com/matches/barnsley-v-tranmere-rovers-06-december-2005-221835/,L,2-1,League One,Oakwell,6996,League One,2-1 to Barnsley,
10 Dec 2005,Blackpool,Tranmere Rovers,https://www.11v11.com/matches/blackpool-v-tranmere-rovers-10-december-2005-221886/,D,1-1,League One,Bloomfield Road,5069,League One,1-1,
17 Dec 2005,Tranmere Rovers,Brentford,https://www.11v11.com/matches/tranmere-rovers-v-brentford-17-december-2005-221961/,L,1-4,League One,Prenton Park,6210,League One,4-1 to Brentford,
20 Dec 2005,Tranmere Rovers,Carlisle United,https://www.11v11.com/matches/tranmere-rovers-v-carlisle-united-20-december-2005-221990/,L,0-0 (10-11),LDV Vans Trophy,Prenton Park,3054,LDV Vans Trophy Quarter-final - northern section,0-0 :: penalties 11-10 to Carlisle United,CARLISLE UNITED WON 11-10 ON PENALTIES - AFTER EXTRA TIME
26 Dec 2005,Walsall,Tranmere Rovers,https://www.11v11.com/matches/walsall-v-tranmere-rovers-26-december-2005-222026/,D,0-0,League One,Bescot Stadium,6476,League One,0-0,
28 Dec 2005,Tranmere Rovers,Yeovil Town,https://www.11v11.com/matches/tranmere-rovers-v-yeovil-town-28-december-2005-222066/,W,4-1,League One,Prenton Park,6327,League One,4-1 to Tranmere Rovers,
31 Dec 2005,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-31-december-2005-222099/,W,0-2,League One,Vale Park,4489,League One,2-0 to Tranmere Rovers,KICK-OFF: 2.00pm
02 Jan 2006,Tranmere Rovers,Rotherham United,https://www.11v11.com/matches/tranmere-rovers-v-rotherham-united-02-january-2006-222148/,W,3-2,League One,Prenton Park,7361,League One,3-2 to Tranmere Rovers,
07 Jan 2006,Tranmere Rovers,AFC Bournemouth,https://www.11v11.com/matches/tranmere-rovers-v-afc-bournemouth-07-january-2006-222193/,D,0-0,League One,Prenton Park,6717,League One,0-0,
14 Jan 2006,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-14-january-2006-222249/,D,0-0,League One,Victoria Park,4181,League One,0-0,
21 Jan 2006,Tranmere Rovers,Southend United,https://www.11v11.com/matches/tranmere-rovers-v-southend-united-21-january-2006-222315/,D,0-0,League One,Prenton Park,7058,League One,0-0,
28 Jan 2006,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-28-january-2006-222364/,D,0-0,League One,Bradford and Bingley Stadium,7697,League One,0-0,
03 Feb 2006,Tranmere Rovers,Huddersfield Town,https://www.11v11.com/matches/tranmere-rovers-v-huddersfield-town-03-february-2006-222418/,W,2-1,League One,Prenton Park,8300,League One,2-1 to Tranmere Rovers,
11 Feb 2006,Gillingham,Tranmere Rovers,https://www.11v11.com/matches/gillingham-v-tranmere-rovers-11-february-2006-271974/,D,1-1,League One,Priestfield Stadium,6803,League One,1-1,
14 Feb 2006,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-14-february-2006-272015/,D,0-0,League One,Prenton Park,6301,League One,0-0,
18 Feb 2006,Tranmere Rovers,Barnsley,https://www.11v11.com/matches/tranmere-rovers-v-barnsley-18-february-2006-272076/,L,0-1,League One,Prenton Park,6802,League One,1-0 to Barnsley,
25 Feb 2006,Oldham Athletic,Tranmere Rovers,https://www.11v11.com/matches/oldham-athletic-v-tranmere-rovers-25-february-2006-272127/,L,1-0,League One,Boundary Park,5281,League One,1-0 to Oldham Athletic,
07 Mar 2006,Swindon Town,Tranmere Rovers,https://www.11v11.com/matches/swindon-town-v-tranmere-rovers-07-march-2006-272212/,W,1-2,League One,"County Ground, Swindon",4139,League One,2-1 to Tranmere Rovers,
11 Mar 2006,Tranmere Rovers,Chesterfield,https://www.11v11.com/matches/tranmere-rovers-v-chesterfield-11-march-2006-272258/,W,4-1,League One,Prenton Park,6435,League One,4-1 to Tranmere Rovers,
17 Mar 2006,Tranmere Rovers,Walsall,https://www.11v11.com/matches/tranmere-rovers-v-walsall-17-march-2006-272296/,L,1-2,League One,Prenton Park,6615,League One,2-1 to Walsall,
25 Mar 2006,Yeovil Town,Tranmere Rovers,https://www.11v11.com/matches/yeovil-town-v-tranmere-rovers-25-march-2006-272392/,D,2-2,League One,Huish Park,5409,League One,2-2,
31 Mar 2006,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-31-march-2006-272420/,W,3-0,League One,Prenton Park,6926,League One,3-0 to Tranmere Rovers,
08 Apr 2006,Rotherham United,Tranmere Rovers,https://www.11v11.com/matches/rotherham-united-v-tranmere-rovers-08-april-2006-272500/,L,2-0,League One,Millmoor,4129,League One,2-0 to Rotherham United,
15 Apr 2006,Tranmere Rovers,Nottingham Forest,https://www.11v11.com/matches/tranmere-rovers-v-nottingham-forest-15-april-2006-272560/,L,0-1,League One,Prenton Park,9152,League One,1-0 to Nottingham Forest,
17 Apr 2006,Colchester United,Tranmere Rovers,https://www.11v11.com/matches/colchester-united-v-tranmere-rovers-17-april-2006-272596/,L,1-0,League One,"Layer Road, Colchester",4757,League One,1-0 to Colchester United,
22 Apr 2006,Tranmere Rovers,Bristol City,https://www.11v11.com/matches/tranmere-rovers-v-bristol-city-22-april-2006-272760/,L,0-3,League One,Prenton Park,6288,League One,3-0 to Bristol City,
29 Apr 2006,Milton Keynes Dons,Tranmere Rovers,https://www.11v11.com/matches/milton-keynes-dons-v-tranmere-rovers-29-april-2006-272796/,W,1-2,League One,"National Hockey Stadium, Milton Keynes",7777,League One,2-1 to Tranmere Rovers,
06 May 2006,Tranmere Rovers,Doncaster Rovers,https://www.11v11.com/matches/tranmere-rovers-v-doncaster-rovers-06-may-2006-272881/,L,0-2,League One,Prenton Park,8343,League One,2-0 to Doncaster Rovers,
07 Aug 2004,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-07-august-2004-24779/,L,1-0,League One,London Road,5390,League One,1-0 to Peterborough United,
10 Aug 2004,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-10-august-2004-24810/,W,2-1,League One,Prenton Park,8128,League One,2-1 to Tranmere Rovers,
14 Aug 2004,Tranmere Rovers,Chesterfield,https://www.11v11.com/matches/tranmere-rovers-v-chesterfield-14-august-2004-24880/,W,1-0,League One,Prenton Park,8287,League One,1-0 to Tranmere Rovers,
21 Aug 2004,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-21-august-2004-24943/,D,0-0,League One,"Earth Stadium, Doncaster",6040,League One,0-0,
24 Aug 2004,Tranmere Rovers,Shrewsbury Town,https://www.11v11.com/matches/tranmere-rovers-v-shrewsbury-town-24-august-2004-24996/,W,2-1,League Cup,Prenton Park,4489,League Cup 1st round,2-1 to Tranmere Rovers,
27 Aug 2004,Tranmere Rovers,Sheffield Wednesday,https://www.11v11.com/matches/tranmere-rovers-v-sheffield-wednesday-27-august-2004-25045/,W,4-2,League One,Prenton Park,9506,League One,4-2 to Tranmere Rovers,
30 Aug 2004,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-30-august-2004-25231/,D,1-1,League One,"Edgeley Park, Stockport",5502,League One,1-1,
11 Sep 2004,Barnsley,Tranmere Rovers,https://www.11v11.com/matches/barnsley-v-tranmere-rovers-11-september-2004-25399/,D,0-0,League One,Oakwell,8615,League One,0-0,
14 Sep 2004,Tranmere Rovers,Oldham Athletic,https://www.11v11.com/matches/tranmere-rovers-v-oldham-athletic-14-september-2004-25628/,W,2-0,League One,Prenton Park,8437,League One,2-0 to Tranmere Rovers,
18 Sep 2004,Tranmere Rovers,Wrexham,https://www.11v11.com/matches/tranmere-rovers-v-wrexham-18-september-2004-25658/,D,1-1,League One,Prenton Park,9826,League One,1-1,KICK-OFF: 1.00pm
21 Sep 2004,Tranmere Rovers,Portsmouth,https://www.11v11.com/matches/tranmere-rovers-v-portsmouth-21-september-2004-25704/,L,0-1,League Cup,Prenton Park,6966,League Cup 2nd round,1-0 to Portsmouth,
25 Sep 2004,Torquay United,Tranmere Rovers,https://www.11v11.com/matches/torquay-united-v-tranmere-rovers-25-september-2004-25745/,W,1-2,League One,"Plainmoor, Torquay",2922,League One,2-1 to Tranmere Rovers,
02 Oct 2004,Tranmere Rovers,Luton Town,https://www.11v11.com/matches/tranmere-rovers-v-luton-town-02-october-2004-25875/,D,1-1,League One,Prenton Park,10884,League One,1-1,
16 Oct 2004,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-16-october-2004-26035/,L,4-5,League One,Prenton Park,8901,League One,5-4 to Bradford City,
19 Oct 2004,Huddersfield Town,Tranmere Rovers,https://www.11v11.com/matches/huddersfield-town-v-tranmere-rovers-19-october-2004-26177/,W,1-3,League One,Galpharm Stadium,10324,League One,3-1 to Tranmere Rovers,
23 Oct 2004,Colchester United,Tranmere Rovers,https://www.11v11.com/matches/colchester-united-v-tranmere-rovers-23-october-2004-26234/,W,1-2,League One,"Layer Road, Colchester",3420,League One,2-1 to Tranmere Rovers,
30 Oct 2004,Tranmere Rovers,Brentford,https://www.11v11.com/matches/tranmere-rovers-v-brentford-30-october-2004-26331/,W,1-0,League One,Prenton Park,8740,League One,1-0 to Tranmere Rovers,
02 Nov 2004,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-02-november-2004-26402/,W,2-1,LDV Vans Trophy,Prenton Park,3735,LDV Vans Trophy 2nd round - northern section,2-1 to Tranmere Rovers,
06 Nov 2004,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-06-november-2004-26459/,W,2-1,League One,Prenton Park,8419,League One,2-1 to Tranmere Rovers,
09 Nov 2004,Bristol City,Tranmere Rovers,https://www.11v11.com/matches/bristol-city-v-tranmere-rovers-09-november-2004-26570/,L,4-0,League One,Ashton Gate,11098,League One,4-0 to Bristol City,
13 Nov 2004,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-13-november-2004-26631/,L,2-1,FA Cup,London Road,2940,FA Cup 1st round,2-1 to Peterborough United,
20 Nov 2004,Blackpool,Tranmere Rovers,https://www.11v11.com/matches/blackpool-v-tranmere-rovers-20-november-2004-26677/,W,0-1,League One,Bloomfield Road,6490,League One,1-0 to Tranmere Rovers,
27 Nov 2004,Tranmere Rovers,Milton Keynes Dons,https://www.11v11.com/matches/tranmere-rovers-v-milton-keynes-dons-27-november-2004-26770/,W,2-0,League One,Prenton Park,8402,League One,2-0 to Tranmere Rovers,
30 Nov 2004,Macclesfield Town,Tranmere Rovers,https://www.11v11.com/matches/macclesfield-town-v-tranmere-rovers-30-november-2004-26823/,W,0-1,LDV Vans Trophy,Moss Rose,1609,LDV Vans Trophy Quarter-final - northern section,1-0 to Tranmere Rovers,
07 Dec 2004,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-07-december-2004-26899/,L,3-1,League One,Vale Park,4027,League One,3-1 to Port Vale,
10 Dec 2004,Tranmere Rovers,AFC Bournemouth,https://www.11v11.com/matches/tranmere-rovers-v-afc-bournemouth-10-december-2004-26969/,W,2-0,League One,Prenton Park,8557,League One,2-0 to Tranmere Rovers,
18 Dec 2004,Hull City,Tranmere Rovers,https://www.11v11.com/matches/hull-city-v-tranmere-rovers-18-december-2004-27012/,L,6-1,League One,KC Stadium,20064,League One,6-1 to Hull City,
26 Dec 2004,Tranmere Rovers,Barnsley,https://www.11v11.com/matches/tranmere-rovers-v-barnsley-26-december-2004-27076/,D,1-1,League One,Prenton Park,11519,League One,1-1,
28 Dec 2004,Walsall,Tranmere Rovers,https://www.11v11.com/matches/walsall-v-tranmere-rovers-28-december-2004-27125/,W,0-2,League One,Bescot Stadium,7217,League One,2-0 to Tranmere Rovers,KICK-OFF: 3.00pm
01 Jan 2005,Oldham Athletic,Tranmere Rovers,https://www.11v11.com/matches/oldham-athletic-v-tranmere-rovers-01-january-2005-27171/,D,2-2,League One,Boundary Park,6876,League One,2-2,
03 Jan 2005,Tranmere Rovers,Torquay United,https://www.11v11.com/matches/tranmere-rovers-v-torquay-united-03-january-2005-27216/,W,4-1,League One,Prenton Park,8792,League One,4-1 to Tranmere Rovers,KICK-OFF: 3.00pm
10 Jan 2005,Tranmere Rovers,Bristol City,https://www.11v11.com/matches/tranmere-rovers-v-bristol-city-10-january-2005-27277/,L,0-1,League One,Prenton Park,8183,League One,1-0 to Bristol City,
15 Jan 2005,Wrexham,Tranmere Rovers,https://www.11v11.com/matches/wrexham-v-tranmere-rovers-15-january-2005-27314/,W,1-5,League One,"Racecourse Ground, Wrexham",6221,League One,5-1 to Tranmere Rovers,
22 Jan 2005,Tranmere Rovers,Walsall,https://www.11v11.com/matches/tranmere-rovers-v-walsall-22-january-2005-27381/,W,2-1,League One,Prenton Park,8651,League One,2-1 to Tranmere Rovers,
25 Jan 2005,Oldham Athletic,Tranmere Rovers,https://www.11v11.com/matches/oldham-athletic-v-tranmere-rovers-25-january-2005-27411/,D,1-1,LDV Vans Trophy,Boundary Park,4069,LDV Vans Trophy Semi-final - northern section,1-1,OLDHAM ATHLETIC WON 5-4 ON PENALTIES|After Extra Time - 1-1 at 90 minutes
29 Jan 2005,Luton Town,Tranmere Rovers,https://www.11v11.com/matches/luton-town-v-tranmere-rovers-29-january-2005-27433/,D,1-1,League One,Kenilworth Road,8594,League One,1-1,
05 Feb 2005,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-05-february-2005-27507/,D,1-1,League One,Bradford and Bingley Stadium,8129,League One,1-1,
12 Feb 2005,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-12-february-2005-27567/,D,1-1,League One,Prenton Park,8098,League One,1-1,
22 Feb 2005,Tranmere Rovers,Huddersfield Town,https://www.11v11.com/matches/tranmere-rovers-v-huddersfield-town-22-february-2005-27690/,W,3-0,League One,Prenton Park,7613,League One,3-0 to Tranmere Rovers,
26 Feb 2005,AFC Bournemouth,Tranmere Rovers,https://www.11v11.com/matches/afc-bournemouth-v-tranmere-rovers-26-february-2005-27734/,D,1-1,League One,Fitness First Stadium,7305,League One,1-1,
05 Mar 2005,Tranmere Rovers,Hull City,https://www.11v11.com/matches/tranmere-rovers-v-hull-city-05-march-2005-27813/,L,1-3,League One,Prenton Park,12684,League One,3-1 to Hull City,
12 Mar 2005,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-12-march-2005-27869/,W,0-1,League One,Victoria Park,4887,League One,1-0 to Tranmere Rovers,
18 Mar 2005,Tranmere Rovers,Peterborough United,https://www.11v11.com/matches/tranmere-rovers-v-peterborough-united-18-march-2005-27930/,W,5-0,League One,Prenton Park,8401,League One,5-0 to Tranmere Rovers,
26 Mar 2005,Chesterfield,Tranmere Rovers,https://www.11v11.com/matches/chesterfield-v-tranmere-rovers-26-march-2005-28012/,D,2-2,League One,"Saltergate, Chesterfield",4293,League One,2-2,KICK-OFF: 1.00pm
28 Mar 2005,Tranmere Rovers,Doncaster Rovers,https://www.11v11.com/matches/tranmere-rovers-v-doncaster-rovers-28-march-2005-28027/,L,2-4,League One,Prenton Park,9730,League One,4-2 to Doncaster Rovers,KICK-OFF: 3.00pm
02 Apr 2005,Sheffield Wednesday,Tranmere Rovers,https://www.11v11.com/matches/sheffield-wednesday-v-tranmere-rovers-02-april-2005-33666/,W,1-2,League One,Hillsborough,22925,League One,2-1 to Tranmere Rovers,
08 Apr 2005,Tranmere Rovers,Stockport County,https://www.11v11.com/matches/tranmere-rovers-v-stockport-county-08-april-2005-33719/,W,1-0,League One,Prenton Park,8757,League One,1-0 to Tranmere Rovers,
12 Apr 2005,Brentford,Tranmere Rovers,https://www.11v11.com/matches/brentford-v-tranmere-rovers-12-april-2005-33769/,L,1-0,League One,Griffin Park,6005,League One,1-0 to Brentford,This result confirmed Luton Town's promotion from League One
16 Apr 2005,Tranmere Rovers,Blackpool,https://www.11v11.com/matches/tranmere-rovers-v-blackpool-16-april-2005-173535/,D,0-0,League One,Prenton Park,8568,League One,0-0,
23 Apr 2005,Swindon Town,Tranmere Rovers,https://www.11v11.com/matches/swindon-town-v-tranmere-rovers-23-april-2005-186595/,L,2-1,League One,"County Ground, Swindon",4484,League One,2-1 to Swindon Town,
29 Apr 2005,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-29-april-2005-186626/,W,1-0,League One,Prenton Park,8940,League One,1-0 to Tranmere Rovers,
07 May 2005,Milton Keynes Dons,Tranmere Rovers,https://www.11v11.com/matches/milton-keynes-dons-v-tranmere-rovers-07-may-2005-186704/,L,2-1,League One,"National Hockey Stadium, Milton Keynes",7359,League One,2-1 to Milton Keynes Dons,
13 May 2005,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-13-may-2005-197724/,L,2-0,League One Play-Offs,Victoria Park,6604,League One Play-Offs Semi-final 1st leg,2-0 to Hartlepool United,
17 May 2005,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-17-may-2005-197726/,W,2-0Agg: 2-2 (5-6),League One Play-Offs,Prenton Park,13356,League One Play-Offs Semi-final 2nd leg,2-0 :: penalties 6-5 to Hartlepool United,Hartlepool United won 6-5 on penalties.|2-2 on aggregate.|After extra time - 2-0 at 90 minutes.
09 Aug 2003,Tranmere Rovers,Brentford,https://www.11v11.com/matches/tranmere-rovers-v-brentford-09-august-2003-15937/,W,4-1,League Division 2,Prenton Park,7307,League Division 2,4-1 to Tranmere Rovers,
12 Aug 2003,Tranmere Rovers,Bury,https://www.11v11.com/matches/tranmere-rovers-v-bury-12-august-2003-15974/,W,1-0,League Cup,Prenton Park,4272,League Cup 1st round,1-0 to Tranmere Rovers,
16 Aug 2003,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-16-august-2003-16085/,D,0-0,League Division 2,Victoria Park,5357,League Division 2,0-0,
23 Aug 2003,Tranmere Rovers,Rushden and Diamonds,https://www.11v11.com/matches/tranmere-rovers-v-rushden-and-diamonds-23-august-2003-16306/,L,1-2,League Division 2,Prenton Park,7374,League Division 2,2-1 to Rushden and Diamonds,
25 Aug 2003,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-25-august-2003-16350/,D,1-1,League Division 2,"Edgeley Park, Stockport",4886,League Division 2,1-1,
30 Aug 2003,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-30-august-2003-16390/,D,1-1,League Division 2,Prenton Park,6745,League Division 2,1-1,
06 Sep 2003,Sheffield Wednesday,Tranmere Rovers,https://www.11v11.com/matches/sheffield-wednesday-v-tranmere-rovers-06-september-2003-16426/,L,2-0,League Division 2,Hillsborough,21705,League Division 2,2-0 to Sheffield Wednesday,
13 Sep 2003,Tranmere Rovers,Peterborough United,https://www.11v11.com/matches/tranmere-rovers-v-peterborough-united-13-september-2003-16470/,D,0-0,League Division 2,Prenton Park,6726,League Division 2,0-0,
16 Sep 2003,Bristol City,Tranmere Rovers,https://www.11v11.com/matches/bristol-city-v-tranmere-rovers-16-september-2003-16499/,L,2-0,League Division 2,Ashton Gate,9365,League Division 2,2-0 to Bristol City,
20 Sep 2003,Notts County,Tranmere Rovers,https://www.11v11.com/matches/notts-county-v-tranmere-rovers-20-september-2003-16615/,D,2-2,League Division 2,Meadow Lane,4215,League Division 2,2-2,
23 Sep 2003,Tranmere Rovers,Nottingham Forest,https://www.11v11.com/matches/tranmere-rovers-v-nottingham-forest-23-september-2003-16714/,L,0-0 (1-4),League Cup,Prenton Park,4477,League Cup 2nd round,0-0 :: penalties 4-1 to Nottingham Forest,Nottingham Forest won 4-1 on penalties.|After extra time.
27 Sep 2003,Tranmere Rovers,Wrexham,https://www.11v11.com/matches/tranmere-rovers-v-wrexham-27-september-2003-16851/,L,1-2,League Division 2,Prenton Park,8230,League Division 2,2-1 to Wrexham,KICK-OFF: 12.00pm
30 Sep 2003,Tranmere Rovers,Wycombe Wanderers,https://www.11v11.com/matches/tranmere-rovers-v-wycombe-wanderers-30-september-2003-16983/,W,2-1,League Division 2,Prenton Park,6847,League Division 2,2-1 to Tranmere Rovers,
06 Oct 2003,Luton Town,Tranmere Rovers,https://www.11v11.com/matches/luton-town-v-tranmere-rovers-06-october-2003-17176/,L,3-1,League Division 2,Kenilworth Road,5002,League Division 2,3-1 to Luton Town,Kick-Off: 8.00pm
11 Oct 2003,Plymouth Argyle,Tranmere Rovers,https://www.11v11.com/matches/plymouth-argyle-v-tranmere-rovers-11-october-2003-17260/,L,6-0,League Division 2,Home Park,7610,League Division 2,6-0 to Plymouth Argyle,
14 Oct 2003,Blackpool,Tranmere Rovers,https://www.11v11.com/matches/blackpool-v-tranmere-rovers-14-october-2003-17416/,L,3-2,LDV Vans Trophy,Bloomfield Road,2838,LDV Vans Trophy 1st round - northern section,3-2 to Blackpool,
18 Oct 2003,Tranmere Rovers,Oldham Athletic,https://www.11v11.com/matches/tranmere-rovers-v-oldham-athletic-18-october-2003-17702/,W,2-1,League Division 2,Prenton Park,8202,League Division 2,2-1 to Tranmere Rovers,
21 Oct 2003,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-21-october-2003-17734/,W,1-0,League Division 2,Prenton Park,6675,League Division 2,1-0 to Tranmere Rovers,
25 Oct 2003,Queens Park Rangers,Tranmere Rovers,https://www.11v11.com/matches/queens-park-rangers-v-tranmere-rovers-25-october-2003-17761/,D,1-1,League Division 2,Loftus Road,12937,League Division 2,1-1,
01 Nov 2003,Tranmere Rovers,AFC Bournemouth,https://www.11v11.com/matches/tranmere-rovers-v-afc-bournemouth-01-november-2003-17832/,D,1-1,League Division 2,Prenton Park,7123,League Division 2,1-1,
08 Nov 2003,Tranmere Rovers,Chesterfield,https://www.11v11.com/matches/tranmere-rovers-v-chesterfield-08-november-2003-17932/,W,3-2,FA Cup,Prenton Park,5633,FA Cup 1st round,3-2 to Tranmere Rovers,
15 Nov 2003,Barnsley,Tranmere Rovers,https://www.11v11.com/matches/barnsley-v-tranmere-rovers-15-november-2003-17952/,L,2-0,League Division 2,Oakwell,9663,League Division 2,2-0 to Barnsley,
22 Nov 2003,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-22-november-2003-18010/,W,1-0,League Division 2,Prenton Park,7081,League Division 2,1-0 to Tranmere Rovers,
29 Nov 2003,Grimsby Town,Tranmere Rovers,https://www.11v11.com/matches/grimsby-town-v-tranmere-rovers-29-november-2003-18054/,W,0-1,League Division 2,Blundell Park,4406,League Division 2,1-0 to Tranmere Rovers,
06 Dec 2003,Hornchurch,Tranmere Rovers,https://www.11v11.com/matches/hornchurch-v-tranmere-rovers-06-december-2003-18107/,W,0-1,FA Cup,"Bridge Avenue, Upminster",3500,FA Cup 2nd round,1-0 to Tranmere Rovers,KICK-OFF: 1.00pm
13 Dec 2003,Chesterfield,Tranmere Rovers,https://www.11v11.com/matches/chesterfield-v-tranmere-rovers-13-december-2003-18172/,D,2-2,League Division 2,"Saltergate, Chesterfield",3123,League Division 2,2-2,
